learning_rate,0.0001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.29986,20,0.11
40,2.30287,40,0.1
60,2.30124,60,0.11
80,2.30328,80,0.12
100,2.30371,100,0.07
120,2.30353,120,0.09
140,2.29905,140,0.14
160,2.30298,160,0.08
180,2.30238,180,0.14
200,2.30327,200,0.07
220,2.30485,220,0.09
240,2.30233,240,0.11
260,2.30258,260,0.13
280,2.29991,280,0.09
300,2.30185,300,0.07
320,2.30226,320,0.1
340,2.30206,340,0.15
360,2.30188,360,0.07
380,2.3009,380,0.13
400,2.30219,400,0.08
420,2.30237,420,0.14
440,2.30239,440,0.11
460,2.30235,460,0.14
480,2.30001,480,0.13
500,2.30146,500,0.12
520,2.30226,520,0.12
540,2.30054,540,0.16
560,2.29908,560,0.09
580,2.30593,580,0.09
600,2.30057,600,0.14
620,2.30086,620,0.12
640,2.30143,640,0.14
660,2.30106,660,0.15
680,2.29897,680,0.19
700,2.30102,700,0.09
720,2.3009,720,0.11
740,2.30168,740,0.09
760,2.30175,760,0.08
780,2.30046,780,0.15
800,2.30233,800,0.1
820,2.30017,820,0.2
840,2.30105,840,0.17
860,2.30339,860,0.09
880,2.30076,880,0.17
900,2.29962,900,0.22
920,2.30164,920,0.12
940,2.29955,940,0.17
960,2.30021,960,0.2
980,2.29936,980,0.17
1000,2.2998,1000,0.15
1020,2.29997,1020,0.16
1040,2.29664,1040,0.2
1060,2.30016,1060,0.15
1080,2.30016,1080,0.14
1100,2.29767,1100,0.11
1120,2.2972,1120,0.19
1140,2.29903,1140,0.09
1160,2.30209,1160,0.08
1180,2.30068,1180,0.04
1200,2.2969,1200,0.23
1220,2.29611,1220,0.15
1240,2.29797,1240,0.2
1260,2.30131,1260,0.09
1280,2.29728,1280,0.15
1300,2.298,1300,0.24
1320,2.30146,1320,0.13
1340,2.29857,1340,0.13
1360,2.29813,1360,0.14
1380,2.30037,1380,0.09
1400,2.29802,1400,0.17
1420,2.29661,1420,0.17
1440,2.29852,1440,0.12
1460,2.29832,1460,0.13
1480,2.30009,1480,0.08
1500,2.2978,1500,0.18
1520,2.29624,1520,0.15
1540,2.29803,1540,0.16
1560,2.29989,1560,0.11
1580,2.29532,1580,0.14
1600,2.29843,1600,0.1
1620,2.29722,1620,0.2
1640,2.29649,1640,0.14
1660,2.2958,1660,0.22
1680,2.29813,1680,0.15
1700,2.29586,1700,0.15
1720,2.29803,1720,0.1
1740,2.29867,1740,0.1
1760,2.2952,1760,0.19
1780,2.29755,1780,0.17
1800,2.29717,1800,0.14
1820,2.29503,1820,0.07
1840,2.2936,1840,0.24
1860,2.29755,1860,0.12
1880,2.29731,1880,0.16
1900,2.29357,1900,0.17
1920,2.29854,1920,0.14
1940,2.29705,1940,0.13
1960,2.29612,1960,0.15
1980,2.29728,1980,0.14
2000,2.29637,2000,0.16
2020,2.29522,2020,0.12
2040,2.29795,2040,0.1
2060,2.29436,2060,0.13
2080,2.2926,2080,0.23
2100,2.29432,2100,0.14
2120,2.29219,2120,0.2
2140,2.29594,2140,0.11
2160,2.29414,2160,0.22
2180,2.29257,2180,0.23
2200,2.29588,2200,0.17
2220,2.29453,2220,0.14
2240,2.29242,2240,0.2
2260,2.29515,2260,0.22
2280,2.29442,2280,0.18
2300,2.29153,2300,0.16
2320,2.29094,2320,0.23
2340,2.29355,2340,0.18
2360,2.29029,2360,0.17
2380,2.29114,2380,0.21
2400,2.29233,2400,0.19
2420,2.29339,2420,0.17
2440,2.29135,2440,0.18
2460,2.29101,2460,0.2
2480,2.29124,2480,0.23
2500,2.29399,2500,0.21
2520,2.29088,2520,0.21
2540,2.28927,2540,0.22
2560,2.28902,2560,0.19
2580,2.28778,2580,0.2
2600,2.29462,2600,0.17
2620,2.29072,2620,0.2
2640,2.29235,2640,0.19
2660,2.28996,2660,0.18
2680,2.29083,2680,0.13
2700,2.28869,2700,0.18
2720,2.29137,2720,0.14
2740,2.29293,2740,0.11
2760,2.2906,2760,0.21
2780,2.29173,2780,0.12
2800,2.28225,2800,0.24
2820,2.28855,2820,0.13
2840,2.28881,2840,0.2
2860,2.29123,2860,0.11
2880,2.28748,2880,0.16
2900,2.28703,2900,0.2
2920,2.28625,2920,0.28
2940,2.2921,2940,0.14
2960,2.28642,2960,0.17
2980,2.28738,2980,0.17
3000,2.28706,3000,0.15
Accuracy on Test Example:,0.1907
